================ Training Loss (Wed Feb 26 11:24:39 2020) ================
(epoch: 17, iters: 400, time: 0.198, data: 0.001) G_GAN: 2.720 G_L1: 32.900 D_real: 0.033 D_fake: 0.570 
(epoch: 18, iters: 100, time: 0.066, data: 0.110) G_GAN: 0.854 G_L1: 22.373 D_real: 1.501 D_fake: 0.304 
(epoch: 18, iters: 200, time: 0.065, data: 0.001) G_GAN: 3.161 G_L1: 34.109 D_real: 0.541 D_fake: 0.051 
(epoch: 18, iters: 300, time: 0.065, data: 0.001) G_GAN: 1.936 G_L1: 33.408 D_real: 1.638 D_fake: 0.069 
(epoch: 18, iters: 400, time: 0.205, data: 0.001) G_GAN: 3.190 G_L1: 26.404 D_real: 0.186 D_fake: 0.037 
(epoch: 19, iters: 100, time: 0.065, data: 0.132) G_GAN: 2.697 G_L1: 35.971 D_real: 0.006 D_fake: 0.248 
(epoch: 19, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.693 G_L1: 40.135 D_real: 0.137 D_fake: 0.110 
(epoch: 19, iters: 300, time: 0.066, data: 0.001) G_GAN: 1.904 G_L1: 39.601 D_real: 0.003 D_fake: 0.475 
(epoch: 19, iters: 400, time: 0.206, data: 0.001) G_GAN: 2.942 G_L1: 39.688 D_real: 0.147 D_fake: 0.080 
(epoch: 20, iters: 100, time: 0.065, data: 0.150) G_GAN: 2.775 G_L1: 31.994 D_real: 0.057 D_fake: 0.094 
(epoch: 20, iters: 200, time: 0.065, data: 0.001) G_GAN: 3.205 G_L1: 31.545 D_real: 0.148 D_fake: 0.196 
(epoch: 20, iters: 300, time: 0.064, data: 0.001) G_GAN: 2.973 G_L1: 37.897 D_real: 0.156 D_fake: 0.061 
(epoch: 20, iters: 400, time: 0.222, data: 0.001) G_GAN: 2.754 G_L1: 27.293 D_real: 0.019 D_fake: 0.669 
(epoch: 21, iters: 100, time: 0.067, data: 0.095) G_GAN: 2.403 G_L1: 32.540 D_real: 0.041 D_fake: 0.474 
(epoch: 21, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.495 G_L1: 42.790 D_real: 0.282 D_fake: 0.061 
(epoch: 21, iters: 300, time: 0.074, data: 0.001) G_GAN: 1.385 G_L1: 26.748 D_real: 1.104 D_fake: 0.256 
(epoch: 21, iters: 400, time: 0.214, data: 0.002) G_GAN: 1.758 G_L1: 33.015 D_real: 0.352 D_fake: 0.264 
(epoch: 22, iters: 100, time: 0.073, data: 0.109) G_GAN: 2.030 G_L1: 31.075 D_real: 0.888 D_fake: 0.074 
(epoch: 22, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.010 G_L1: 27.836 D_real: 0.047 D_fake: 0.871 
(epoch: 22, iters: 300, time: 0.073, data: 0.001) G_GAN: 3.306 G_L1: 28.977 D_real: 0.035 D_fake: 0.096 
(epoch: 22, iters: 400, time: 0.204, data: 0.001) G_GAN: 2.145 G_L1: 42.001 D_real: 0.017 D_fake: 0.571 
(epoch: 23, iters: 100, time: 0.068, data: 0.096) G_GAN: 1.006 G_L1: 28.189 D_real: 1.711 D_fake: 0.035 
(epoch: 23, iters: 200, time: 0.075, data: 0.001) G_GAN: 0.617 G_L1: 27.507 D_real: 1.749 D_fake: 0.334 
(epoch: 23, iters: 300, time: 0.075, data: 0.001) G_GAN: 2.409 G_L1: 33.389 D_real: 0.023 D_fake: 0.433 
(epoch: 23, iters: 400, time: 0.223, data: 0.001) G_GAN: 3.027 G_L1: 24.474 D_real: 0.005 D_fake: 1.847 
(epoch: 24, iters: 100, time: 0.065, data: 0.111) G_GAN: 2.317 G_L1: 22.886 D_real: 0.157 D_fake: 0.963 
(epoch: 24, iters: 200, time: 0.067, data: 0.001) G_GAN: 1.159 G_L1: 29.043 D_real: 1.116 D_fake: 0.242 
(epoch: 24, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.922 G_L1: 32.396 D_real: 0.030 D_fake: 0.817 
(epoch: 24, iters: 400, time: 0.232, data: 0.001) G_GAN: 4.480 G_L1: 37.112 D_real: 0.015 D_fake: 0.017 
(epoch: 25, iters: 100, time: 0.066, data: 0.173) G_GAN: 2.163 G_L1: 30.343 D_real: 0.024 D_fake: 0.670 
(epoch: 25, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.777 G_L1: 32.655 D_real: 0.014 D_fake: 0.172 
(epoch: 25, iters: 300, time: 0.066, data: 0.001) G_GAN: 1.030 G_L1: 28.912 D_real: 1.925 D_fake: 0.185 
(epoch: 25, iters: 400, time: 0.215, data: 0.001) G_GAN: 2.238 G_L1: 34.155 D_real: 0.064 D_fake: 0.477 
(epoch: 26, iters: 100, time: 0.064, data: 0.101) G_GAN: 3.568 G_L1: 38.130 D_real: 0.180 D_fake: 0.039 
(epoch: 26, iters: 200, time: 0.062, data: 0.001) G_GAN: 2.459 G_L1: 35.432 D_real: 0.125 D_fake: 0.172 
(epoch: 26, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.833 G_L1: 26.293 D_real: 0.054 D_fake: 0.323 
(epoch: 26, iters: 400, time: 0.218, data: 0.001) G_GAN: 2.681 G_L1: 41.125 D_real: 0.112 D_fake: 0.504 
(epoch: 27, iters: 100, time: 0.065, data: 0.097) G_GAN: 1.081 G_L1: 24.634 D_real: 1.150 D_fake: 0.937 
(epoch: 27, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.026 G_L1: 29.098 D_real: 0.389 D_fake: 0.102 
(epoch: 27, iters: 300, time: 0.065, data: 0.001) G_GAN: 3.141 G_L1: 32.964 D_real: 0.031 D_fake: 0.443 
(epoch: 27, iters: 400, time: 0.257, data: 0.001) G_GAN: 2.637 G_L1: 31.187 D_real: 0.188 D_fake: 0.139 
(epoch: 28, iters: 100, time: 0.065, data: 0.122) G_GAN: 2.824 G_L1: 26.174 D_real: 0.068 D_fake: 1.439 
(epoch: 28, iters: 200, time: 0.065, data: 0.001) G_GAN: 1.004 G_L1: 23.179 D_real: 0.896 D_fake: 0.137 
(epoch: 28, iters: 300, time: 0.066, data: 0.001) G_GAN: 2.155 G_L1: 30.039 D_real: 0.119 D_fake: 0.460 
(epoch: 28, iters: 400, time: 0.257, data: 0.001) G_GAN: 1.349 G_L1: 24.097 D_real: 1.656 D_fake: 0.091 
(epoch: 29, iters: 100, time: 0.065, data: 0.101) G_GAN: 2.056 G_L1: 36.876 D_real: 0.004 D_fake: 0.142 
(epoch: 29, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.205 G_L1: 39.773 D_real: 0.011 D_fake: 1.131 
(epoch: 29, iters: 300, time: 0.065, data: 0.001) G_GAN: 1.665 G_L1: 30.006 D_real: 1.889 D_fake: 0.063 
(epoch: 29, iters: 400, time: 0.222, data: 0.001) G_GAN: 1.349 G_L1: 22.783 D_real: 0.591 D_fake: 0.395 
(epoch: 30, iters: 100, time: 0.066, data: 0.145) G_GAN: 2.483 G_L1: 35.717 D_real: 0.407 D_fake: 0.053 
(epoch: 30, iters: 200, time: 0.065, data: 0.001) G_GAN: 3.048 G_L1: 25.838 D_real: 0.058 D_fake: 0.398 
(epoch: 30, iters: 300, time: 0.065, data: 0.001) G_GAN: 3.157 G_L1: 31.986 D_real: 0.061 D_fake: 0.082 
